S. No.,District,Village,Ownership,Area,Lat ,Long
856,West_Delhi,Baprola,BDO,14922.87,28.6412639,77.0108528
857,West_Delhi,Baprola,BDO,927.41,28.6388231,77.0167475
858,West_Delhi,Baprola,BDO,843.1,28.6312689,77.0084747
859,West_Delhi,Basai Darapur Sudarshan Park,DMRC,10370.13,28.6593808,77.1365144
860,West_Delhi,Basai Darapur Sudarshan Park,MCD,37813.035,28.6538389,0
861,West_Delhi,Budhela,DDA,674.48,28.6339644,77.0726492
862,West_Delhi,Budhela,DDA,379.395,28.6391269,77.0681333
863,West_Delhi,Budhela,DDA,3709.64,28.63877,77.0686839
864,West_Delhi,Budhela,DDA,1644.045,28.6377903,77.0686383
865,West_Delhi,Garhi peeran F/89 @ Peeragarhi,MCD,14700,28.6720517,77.09552
866,West_Delhi,Garhi peeran F/89 @ Peeragarhi,DDA,4046.88,28.6781333,77.094
867,West_Delhi,Garhi peeran F/89 @ Peeragarhi,DDA,9527.03,28.6765592,77.089005
868,West_Delhi,Hastsal (partly) F/74,BDO,4721.36,28.6333442,77.0585825
869,West_Delhi,Hastsal (partly) F/75,BDO,19349.145,28.6301989,77.0555711
870,West_Delhi,Hiran Kudna,BDO,10665.215,28.6711869,77.0055986
871,West_Delhi,Hiran Kudna,BDO,8726.085,28.6712236,77.0018311
873,West_Delhi,Hiran Kudna,BDO,9948.58,28.67255,76.9959422
874,West_Delhi,Hiran Kudna,BDO,2782.23,28.6763622,76.99515
875,West_Delhi,Hiran Kudna,BDO,13911.15,28.6747511,76.9996747
877,West_Delhi,Kamruddin Nagar,BDO,,28.6778725,77.0536294
878,West_Delhi,Keshopur F/74,DDA,3414.555,28.6467506,77.0818983
879,West_Delhi,Keshopur F/75,MCD,4974.29,28.6463881,77.0789667
880,West_Delhi,Khayala,DDA,2360.68,28.6580472,77.1007986
881,West_Delhi,Khayala,DDA,6576.18,28.65085,77.102425
882,West_Delhi,Khayala,DDA,2571.455,28.6563992,77.1027022
883,West_Delhi,Madi pur F/74,DDA,19475.61,28.6691725,77.1217961
884,West_Delhi,Madi pur F/75,DDA,5142.91,28.6696706,77.1225372
885,West_Delhi,Madi pur F/76,DDA,9695.65,28.6687889,77.1225944
886,West_Delhi,Mundka,BDO,1644.045,28.6774947,77.0327167
887,West_Delhi,Mundka,BDO,13405.29,28.6773817,77.0255594
888,West_Delhi,Mundka,BDO,13700.375,28.6840881,77.0285881
889,West_Delhi,Mundka,BDO,2571.455,28.6910911,77.0189406
890,West_Delhi,Mundka,DDA,9611.34,28.6944964,77.0287369
891,West_Delhi,Mundka,MCD,4046.88,28.6802436,77.0263333
892,West_Delhi,Mundka,BDO,4046.88,28.6809892,77.0089703
893,West_Delhi,Nangloi Sayyad,DDA,9021.17,28.6600272,77.0861022
894,West_Delhi,Nangloi Jat,BDO,7250.66,28.6757317,77.0654831
895,West_Delhi,Nangloi Jat,MCD,1264.65,28.6817447,77.0627711
896,West_Delhi,Nangloi Jat,MCD,1053.875,28.6751125,77.0658875
897,West_Delhi,Neelwal,BDO,12520.035,28.6675664,76.9757444
898,West_Delhi,Neelwal,BDO,7208.505,28.6681325,76.9798994
899,West_Delhi,Nilothi,BDO,4552.74,28.6475289,77.057345
900,West_Delhi,Nagli jalib F/66,DDA,2908.695,28.6349842,77.0908019
901,West_Delhi,Ranhola @ safipur ranhola,BDO,11466.16,28.6642386,77.0510392
902,West_Delhi,Ranhola @ safipur ranhola,BDO,9274.1,28.6557803,77.0391856
903,West_Delhi,Ranhola @ safipur ranhola,BDO,3077,28.6587328,77.0367583
904,West_Delhi,Tihar,DDA,78323.99,28.6312603,77.1053644
905,West_Delhi,Tihar,MCD,4131.19,28.6333122,77.1125728
906,West_Delhi,Tihar,DDA,13911.15,28.631255,77.1104581
907,West_Delhi,Tilang pur kotla,BDO,7630.055,28.6465461,77.0281594
908,West_Delhi,Tikari Kalan,BDO,4468.43,28.6980514,76.9686483
909,West_Delhi,Tikari Kalan,BDO,8726.085,28.6876372,76.9749683
910,West_Delhi,Tikari Kalan,BDO,1728.355,28.6838769,76.9715394
911,West_Delhi,Tikari Kalan,BDO,3414.555,28.6830467,76.9736142
912,West_Delhi,Tikari Kalan,BDO,7840.83,28.6814814,76.9700861
913,West_Delhi,Tikari Kalan,BDO,126.465,28.6801733,76.9663572
914,West_Delhi,Tikari Kalan,BDO,,28.6842783,76.9681722
915,West_Delhi,Tikari Kalan,BDO,8936.86,28.6759878,76.9625153
916,West_Delhi,Tikari Kalan,BDO,4046.88,28.679675,76.9837761
917,West_Delhi,Tikari Kalan,BDO,2276.37,28.6750083,76.9795714
921,West_Delhi,Tatar pur F/66,DDA,14796.405,28.6444708,77.1150953
923,New_Delhi,Bagdola,DDA,10285.82,28.5689114,77.0744378
924,New_Delhi,Bagdola,DDA,8135.915,28.5722183,77.0719189
925,New_Delhi,Bagdola,DDA,,28.573165,77.07072
926,New_Delhi,Bagdola,DDA,11339.695,28.5713981,77.0730156
927,New_Delhi,Dasgraha,DDA,27680,28.6239478,77.1613
928,New_Delhi,Ghitorni,BDO,15133.645,28.4939461,77.1401964
929,New_Delhi,Kusumpuri Pahari,DDA,2824.385,28.5553936,77.1548217
930,New_Delhi,Kusumpuri Pahari,DDA,379.395,28.5464886,77.1490619
931,New_Delhi,Kusumpuri Pahari,DDA,337.24,28.5472531,77.1498569
937,New_Delhi,Masoodpur,DDA,33976.93,28.5275064,77.1558044
938,New_Delhi,Mohd. Pur munirka F/66,MCD,7039.885,28.5526461,77.1717886
939,New_Delhi,Mohd. Pur munirka F/66,DDA,12267.105,28.5553525,77.1660894
940,New_Delhi,Mohd. Pur munirka F/66,DDA,6407.56,28.5678008,77.1906692
941,New_Delhi,Mohd. Pur munirka F/66,DDA,1222.495,28.568135,77.18787
942,New_Delhi,Munirka F/66,DDA,16988.465,28.5782472,77.1722056
943,New_Delhi,Munirka F/66,DDA,20782.415,28.5762989,77.1758919
944,New_Delhi,Mahipalpur F/89,DDA,23817.575,28.5466914,77.1297014
945,New_Delhi,Mahipalpur F/89,DDA,3625.33,28.5512606,77.1321664
946,New_Delhi,Mahipalpur F/89,DDA,8093.76,28.5545167,77.1333447
947,New_Delhi,Mahipalpur F/89,DDA,,28.547315,77.1451736
948,New_Delhi,Mahipalpur F/89,DDA,,28.5540111,77.1340008
949,New_Delhi,Nangal Dewat,DDA,19981.47,28.5523133,77.0893528
950,New_Delhi,Nangal Dewat,DDA,24281.28,28.5525017,77.10179
951,New_Delhi,Nangal Raya F/66,DDA,6323.25,28.604615,77.1087622
952,New_Delhi,Naraina F/66,DDA,,28.6204389,77.1442222
953,New_Delhi,Naraina F/66,PWD,9611.34,28.6286439,77.1315789
954,New_Delhi,Posangipur F/66,DDA,1770.51,28.6260375,77.0745286
955,New_Delhi,Rajokari,BDO,1686.2,28.5271408,77.1122964
956,New_Delhi,Rajokari,BDO,4763.515,28.5081569,77.0994203
957,New_Delhi,Rajokari,BDO,3836.105,28.5153642,77.1126586
958,New_Delhi,Rajokari,BDO,11424.005,28.5112114,77.1151236
959,New_Delhi,Rajokari,BDO,9442.72,28.5124,77.1194189
960,New_Delhi,Rajokari,Forest,27653.68,28.5104272,77.1140222
961,New_Delhi,Rajokari,BDO,16187.52,28.5152994,77.1178214
962,New_Delhi,Rajokari,BDO,885.255,28.5055906,77.1069094
963,New_Delhi,Rajokari,Forest,3667.485,28.5086153,77.1132761
964,New_Delhi,Rajokari,Forest,1601.89,28.5072533,77.1280817
965,New_Delhi,Rajokari,BDO,34482.79,28.5186781,77.1069664
966,New_Delhi,Rang Puri,BDO,5437.995,28.5425239,77.1193481
967,New_Delhi,Rang Puri,BDO,10623.06,28.5341203,77.1194281
968,New_Delhi,Rang Puri,BDO,8093.76,28.5335625,77.1271575
969,New_Delhi,Rang Puri,BDO,24281.28,28.5299703,77.1327597
970,New_Delhi,Rang Puri,DDA,2740.075,28.5363492,77.1472525
971,New_Delhi,Rang Puri,DDA,5058.6,28.5364817,77.14695
972,New_Delhi,Rang Puri,DDA,5859.545,28.5357706,77.1467844
973,New_Delhi,Samalkha,BDO,6660.49,28.5301875,77.1065797
974,New_Delhi,Samalkha,BDO,,28.52241,77.0996458
975,New_Delhi,Samalkha,BDO,4763.515,28.5315775,77.1116403
976,New_Delhi,Samalkha,PWD,22089.22,28.5323611,77.08586
977,New_Delhi,Samalkha,MCD,8726.085,28.5355414,77.0874506
978,New_Delhi,Samalkha,BDO,7124.195,28.5303369,77.0951986
979,New_Delhi,Samalkha,BDO,6112.475,28.5226344,77.0989594
980,New_Delhi,Shahbad Mohd.Pur F/02,DDA,10623.06,28.5613753,77.0564594
981,New_Delhi,Shahbad Mohd.Pur F/02,DDA,24323.435,28.5562333,77.0675167
982,New_Delhi,Shahbad Mohd.Pur F/02,DDA,26389.03,28.5557308,77.0694742
983,New_Delhi,Shahbad Mohd.Pur F/02,DDA,,28.5579803,77.0686358
984,New_Delhi,"Uggersen Ki Baoli, Cannaught Place (area 435 sq.metrs.)",ASI,435,28.6261292,77.2252111
986,Central_Delhi,Burari (4) and Kamal pur majra burari,BDO,10749.525,28.7564061,77.1960181
987,Central_Delhi,Burari (4) and Kamal pur majra burari,BDO,19897.16,28.7516108,77.1924847
988,Central_Delhi,Burari (4) and Kamal pur majra burari,BDO,23691.11,28.7560933,77.1913492
989,Central_Delhi,Burari (4) and Kamal pur majra burari,BDO,13658.22,28.759345,77.1961728
992,Central_Delhi,Dhoula Kuan,DDA,58900,28.5914333,77.1622667
993,Central_Delhi,Jagatpur delhi,DDA,1264.65,28.74205,77.2267056
994,Central_Delhi,Jagatpur shahdara,BDO,,28.7401778,77.2384833
996,Central_Delhi,K.N. ridge Khuni jheel,DDA,,28.6806883,77.2169342
997,Central_Delhi,"Jharoda Majra, Burari,",DDA,6500,28.7342158,77.2148133
998,Central_Delhi,Mukandpur,BDO,7039.885,28.7394619,77.1839825
999,Central_Delhi,Nimari F/74,MCD,,28.6532569,77.1783492
1000,Central_Delhi,Sadhora Khurd F/74,DDA,12435.725,28.7285172,77.1881461
1001,Central_Delhi,Sanjarpur,BDO,,28.7285167,77.1881472
1002,Central_Delhi,Salempur majra (burari),BDO,,28.6729722,77.25935
1003,Central_Delhi,Purana quila (1),DDA,,28.7285172,77.1881472
1005,Central_Delhi,Zoo Lake,DDA,,28.6011556,77.2493806
1006,Central_Delhi,Timarpur,BDO,,28.6011556,28.695875
1007,Central_Delhi,Firozshah Kotla Baoli,ASI,876,28.6359831,77.2446658
1008,Central_Delhi,Red Fort Baoli,ASI,597,28.6533283,77.2394972
1009,Central_Delhi,Wazirabad F/89,DDA,,28.7213139,77.2238639
